2018-07-31 00:29:58 startup archives install
2018-07-31 00:29:58 install base-passwd:armhf <none> 3.5.39
2018-07-31 00:29:58 status half-installed base-passwd:armhf 3.5.39
2018-07-31 00:29:58 status unpacked base-passwd:armhf 3.5.39
2018-07-31 00:29:58 status unpacked base-passwd:armhf 3.5.39
2018-07-31 00:29:58 configure base-passwd:armhf 3.5.39 3.5.39
2018-07-31 00:29:58 status unpacked base-passwd:armhf 3.5.39
2018-07-31 00:29:58 status half-configured base-passwd:armhf 3.5.39
2018-07-31 00:29:58 status installed base-passwd:armhf 3.5.39
2018-07-31 00:29:58 startup archives install
2018-07-31 00:29:58 install base-files:armhf <none> 9.4ubuntu4
2018-07-31 00:29:58 status half-installed base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 configure base-files:armhf 9.4ubuntu4 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status half-configured base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 status installed base-files:armhf 9.4ubuntu4
2018-07-31 00:29:58 startup archives install
2018-07-31 00:29:59 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2018-07-31 00:29:59 status half-configured dpkg 1.18.4ubuntu1
2018-07-31 00:29:59 status unpacked dpkg 1.18.4ubuntu1
2018-07-31 00:29:59 status half-installed dpkg 1.18.4ubuntu1
2018-07-31 00:29:59 status half-installed dpkg 1.18.4ubuntu1
2018-07-31 00:29:59 status unpacked dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 status unpacked dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 configure dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2018-07-31 00:29:59 status unpacked dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 status unpacked dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 status unpacked dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 status unpacked dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 status unpacked dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 status half-configured dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 status installed dpkg:armhf 1.18.4ubuntu1
2018-07-31 00:29:59 startup archives install
2018-07-31 00:29:59 install libc6:armhf <none> 2.23-0ubuntu3
2018-07-31 00:29:59 status half-installed libc6:armhf 2.23-0ubuntu3
2018-07-31 00:30:00 status unpacked libc6:armhf 2.23-0ubuntu3
2018-07-31 00:30:00 status unpacked libc6:armhf 2.23-0ubuntu3
2018-07-31 00:30:00 configure libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2018-07-31 00:30:00 status unpacked libc6:armhf 2.23-0ubuntu3
2018-07-31 00:30:00 status unpacked libc6:armhf 2.23-0ubuntu3
2018-07-31 00:30:00 status half-configured libc6:armhf 2.23-0ubuntu3
2018-07-31 00:30:00 status installed libc6:armhf 2.23-0ubuntu3
2018-07-31 00:30:00 startup archives install
2018-07-31 00:30:00 install perl-base:armhf <none> 5.22.1-9
2018-07-31 00:30:00 status half-installed perl-base:armhf 5.22.1-9
2018-07-31 00:30:00 status unpacked perl-base:armhf 5.22.1-9
2018-07-31 00:30:00 status unpacked perl-base:armhf 5.22.1-9
2018-07-31 00:30:00 configure perl-base:armhf 5.22.1-9 5.22.1-9
2018-07-31 00:30:00 status unpacked perl-base:armhf 5.22.1-9
2018-07-31 00:30:00 status half-configured perl-base:armhf 5.22.1-9
2018-07-31 00:30:00 status installed perl-base:armhf 5.22.1-9
2018-07-31 00:30:01 startup archives install
2018-07-31 00:30:01 install mawk:armhf <none> 1.3.3-17ubuntu2
2018-07-31 00:30:01 status half-installed mawk:armhf 1.3.3-17ubuntu2
2018-07-31 00:30:01 status unpacked mawk:armhf 1.3.3-17ubuntu2
2018-07-31 00:30:01 status unpacked mawk:armhf 1.3.3-17ubuntu2
2018-07-31 00:30:01 configure mawk:armhf 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2018-07-31 00:30:01 status unpacked mawk:armhf 1.3.3-17ubuntu2
2018-07-31 00:30:01 status half-configured mawk:armhf 1.3.3-17ubuntu2
2018-07-31 00:30:01 status installed mawk:armhf 1.3.3-17ubuntu2
2018-07-31 00:30:01 startup archives unpack
2018-07-31 00:30:01 install adduser:all <none> 3.113+nmu3ubuntu4
2018-07-31 00:30:01 status half-installed adduser:all 3.113+nmu3ubuntu4
2018-07-31 00:30:01 status unpacked adduser:all 3.113+nmu3ubuntu4
2018-07-31 00:30:01 status unpacked adduser:all 3.113+nmu3ubuntu4
2018-07-31 00:30:01 upgrade base-files:armhf 9.4ubuntu4 9.4ubuntu4
2018-07-31 00:30:01 status half-configured base-files:armhf 9.4ubuntu4
2018-07-31 00:30:01 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:30:01 status half-installed base-files:armhf 9.4ubuntu4
2018-07-31 00:30:01 status half-installed base-files:armhf 9.4ubuntu4
2018-07-31 00:30:01 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:30:01 status unpacked base-files:armhf 9.4ubuntu4
2018-07-31 00:30:01 upgrade base-passwd:armhf 3.5.39 3.5.39
2018-07-31 00:30:01 status half-configured base-passwd:armhf 3.5.39
2018-07-31 00:30:01 status unpacked base-passwd:armhf 3.5.39
2018-07-31 00:30:01 status half-installed base-passwd:armhf 3.5.39
2018-07-31 00:30:01 status half-installed base-passwd:armhf 3.5.39
2018-07-31 00:30:01 status unpacked base-passwd:armhf 3.5.39
2018-07-31 00:30:01 status unpacked base-passwd:armhf 3.5.39
2018-07-31 00:30:01 install bash:armhf <none> 4.3-14ubuntu1
2018-07-31 00:30:01 status half-installed bash:armhf 4.3-14ubuntu1
2018-07-31 00:30:01 status unpacked bash:armhf 4.3-14ubuntu1
2018-07-31 00:30:01 status unpacked bash:armhf 4.3-14ubuntu1
2018-07-31 00:30:01 install bsdutils:armhf <none> 1:2.27.1-6ubuntu3
2018-07-31 00:30:01 status half-installed bsdutils:armhf 1:2.27.1-6ubuntu3
2018-07-31 00:30:01 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2018-07-31 00:30:01 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2018-07-31 00:30:01 install coreutils:armhf <none> 8.25-2ubuntu2
2018-07-31 00:30:01 status half-installed coreutils:armhf 8.25-2ubuntu2
2018-07-31 00:30:01 status unpacked coreutils:armhf 8.25-2ubuntu2
2018-07-31 00:30:02 status unpacked coreutils:armhf 8.25-2ubuntu2
2018-07-31 00:30:02 install dash:armhf <none> 0.5.8-2.1ubuntu2
2018-07-31 00:30:02 status half-installed dash:armhf 0.5.8-2.1ubuntu2
